Accident_ID,Date,Time,State,City,Latitude,Longitude,Vehicle_Type,Number_of_Vehicles_Involved,Weather_Condition,Road_Type,Road_Surface_Condition,Light_Condition,Speed_Limit,Driver_Age,Driver_Gender,Severity,Fatalities,Serious_Injuries,Minor_Injuries,Total_Casualties
ACC00001,2022-08-17,00:54:38,Telangana,Telangana City 3,17.160304,79.859073,Car,1,Clear,City Road,Wet,Daylight,100,36,Male,Minor,0,0,1,1
ACC00002,2024-05-14,01:09:25,Maharashtra,Maharashtra City 1,20.848528,76.013345,Car,4,Foggy,City Road,Muddy,Daylight,80,70,Male,Minor,0,0,3,3
ACC00003,2024-05-09,08:01:33,West Bengal,West Bengal City 5,22.035475,86.910214,Truck,4,Rainy,Highway,Wet,Dawn/Dusk,50,61,Female,Fatal,2,1,1,4
ACC00004,2022-11-15,07:50:21,Bihar,Bihar City 3,25.435559,84.228482,Two-Wheeler,4,Hazy,Highway,Icy,Daylight,50,32,Female,Minor,0,0,3,3
ACC00005,2023-06-26,01:34:55,Telangana,Telangana City 4,18.465158,78.667386,Auto-Rickshaw,4,Rainy,Highway,Icy,Daylight,80,20,Female,Minor,0,0,3,3
ACC00006,2024-01-11,21:01:14,Karnataka,Karnataka City 1,14.015155,77.056657,Two-Wheeler,4,Rainy,City Road,Under Construction,Daylight,40,26,Male,Fatal,3,0,0,3
ACC00007,2024-02-18,10:07:14,West Bengal,West Bengal City 3,23.542699,87.680457,Car,3,Rainy,Rural Road,Under Construction,Dark - Lit,100,25,Female,Minor,0,0,2,2
ACC00008,2022-05-27,22:10:40,Kerala,Kerala City 2,10.523182,75.316708,Auto-Rickshaw,4,Clear,City Road,Wet,Dawn/Dusk,60,23,Female,Minor,0,0,2,2
ACC00009,2023-03-26,11:48:24,Haryana,Haryana City 1,27.65394,77.116854,Car,4,Stormy,Highway,Under Construction,Dawn/Dusk,50,53,Male,Minor,0,0,2,2
ACC00010,2023-03-09,20:39:01,Andhra Pradesh,Andhra Pradesh City 3,14.997949,78.375682,Car,4,Cloudy,Expressway,Icy,Dawn/Dusk,40,62,Female,Serious,0,3,1,4
ACC00011,2022-10-13,08:58:45,Telangana,Telangana City 5,18.370253,80.415766,Auto-Rickshaw,4,Rainy,Rural Road,Muddy,Dawn/Dusk,80,58,Female,Minor,0,0,1,1
ACC00012,2024-01-12,07:59:06,Uttar Pradesh,Uttar Pradesh City 5,25.573652,82.410661,Bus,4,Clear,Highway,Dry,Daylight,40,25,Male,Minor,0,0,1,1
ACC00013,2024-05-14,21:42:52,Tamil Nadu,Tamil Nadu City 4,10.226527,79.294026,Bus,3,Cloudy,Bridge/Flyover,Icy,Dark - Unlit,80,22,Male,Minor,0,0,3,3
ACC00014,2022-08-23,19:33:01,Bihar,Bihar City 3,26.18931,85.679894,Pedestrian,2,Clear,Rural Road,Dry,Dark - Unlit,60,72,Male,Fatal,2,0,1,3
ACC00015,2024-07-18,00:07:05,Telangana,Telangana City 3,18.798819,79.432672,Auto-Rickshaw,3,Rainy,City Road,Muddy,Daylight,100,52,Female,Minor,0,0,1,1
ACC00016,2024-11-05,22:10:18,Karnataka,Karnataka City 2,16.366741,76.375189,Truck,3,Cloudy,City Road,Muddy,Daylight,80,56,Female,Minor,0,0,2,2
ACC00017,2024-09-27,00:42:32,Tamil Nadu,Tamil Nadu City 3,10.912623,77.236257,Pedestrian,1,Clear,Rural Road,Wet,Daylight,40,49,Male,Minor,0,0,3,3
ACC00018,2022-06-25,17:41:39,Haryana,Haryana City 1,27.977994,76.403252,Pedestrian,3,Cloudy,Bridge/Flyover,Wet,Dark - Lit,100,53,Female,Serious,0,1,1,2
ACC00019,2022-12-05,09:39:01,Madhya Pradesh,Madhya Pradesh City 5,21.953664,79.949093,Bus,1,Clear,City Road,Muddy,Dark - Lit,100,70,Female,Fatal,3,2,0,5
ACC00020,2024-03-28,23:39:40,Gujarat,Gujarat City 4,21.733035,70.056264,Auto-Rickshaw,1,Clear,Expressway,Dry,Dark - Lit,40,50,Male,Fatal,2,1,0,3
ACC00021,2023-11-24,00:45:57,Punjab,Punjab City 5,30.931323,76.294044,Car,1,Clear,Bridge/Flyover,Wet,Daylight,30,23,Male,Minor,0,0,3,3
ACC00022,2023-04-14,02:27:14,Andhra Pradesh,Andhra Pradesh City 1,15.86449,80.317308,Pedestrian,2,Clear,Rural Road,Dry,Dark - Lit,50,32,Female,Minor,0,0,1,1
ACC00023,2023-03-15,19:37:58,Uttar Pradesh,Uttar Pradesh City 5,26.561509,79.644677,Auto-Rickshaw,2,Hazy,Expressway,Wet,Dawn/Dusk,60,56,Male,Minor,0,0,1,1
ACC00024,2022-07-13,03:31:44,Kerala,Kerala City 4,9.794261,77.763221,Truck,3,Rainy,Expressway,Icy,Dawn/Dusk,100,19,Male,Minor,0,0,1,1
